Sven Botman, CB, Newcastle United, Netherlands, Value: 726, https://fifastatic.fifaindex.com/FIFA24/players/251809.png, 00093
Gabriel Martinelli, LW/LM, Arsenal, Brazil, Value: 728, https://fifastatic.fifaindex.com/FIFA24/players/251566.png, 00094
Dušan Vlahović, ST, Juventus, Serbia, Value: 728, https://fifastatic.fifaindex.com/FIFA24/players/246430.png, 00095
Moussa Diaby, RM/LM, Aston Villa, France, Value: 728, https://fifastatic.fifaindex.com/FIFA24/players/241852.png, 00096
Aurélien Tchouaméni, CDM/CM, Real Madrid, France, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/241637.png, 00097
Luis Díaz, LW/LM, Liverpool, Colombia, Value: 722, https://fifastatic.fifaindex.com/FIFA24/players/241084.png, 00098
Bremer, CB, Juventus, Brazil, Value: 726, https://fifastatic.fifaindex.com/FIFA24/players/239580.png, 00099
Lisandro Martínez, CB, Manchester United, Argentina, Value: 726, https://fifastatic.fifaindex.com/FIFA24/players/239301.png, 00100
Reece James, RB/RWB, Chelsea, England, Value: 724, https://fifastatic.fifaindex.com/FIFA24/players/238074.png, 00101
Randal Kolo Muani, ST/RM, Paris Saint-Germain, France, Value: 726, https://fifastatic.fifaindex.com/FIFA24/players/237679.png, 00102
Kim Min Jae, CB, Bayern München, Korea Republic, Value: 724, https://fifastatic.fifaindex.com/FIFA24/players/237086.png, 00103
Federico Chiesa, LM/LW/RW, Juventus, Italy, Value: 722, https://fifastatic.fifaindex.com/FIFA24/players/235805.png, 00104
Achraf Hakimi, RB/RWB, Paris Saint-Germain, Morocco, Value: 724, https://fifastatic.fifaindex.com/FIFA24/players/235212.png, 00105
Aaron Ramsdale, GK, Arsenal, England, Value: 726, https://fifastatic.fifaindex.com/FIFA24/players/233934.png, 00106
Raphinha, RW, FC Barcelona, Brazil, Value: 722, https://fifastatic.fifaindex.com/FIFA24/players/233419.png, 00107
Fikayo Tomori, CB, Milan, England, Value: 728, https://fifastatic.fifaindex.com/FIFA24/players/232756.png, 00108
Gabriel, CB, Arsenal, Brazil, Value: 724, https://fifastatic.fifaindex.com/FIFA24/players/232580.png, 00109
Milan Škriniar, CB, Paris Saint-Germain, Slovakia, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/232363.png, 00110
Gabriel Jesus, ST/RW, Arsenal, Brazil, Value: 722, https://fifastatic.fifaindex.com/FIFA24/players/230666.png, 00111
Álex Remiro, GK, Real Sociedad, Spain, Value: 724, https://fifastatic.fifaindex.com/FIFA24/players/227127.png, 00112
Ismaël Bennacer, CDM/CM/CAM, Milan, Algeria, Value: 728, https://fifastatic.fifaindex.com/FIFA24/players/226754.png, 00113
Marcos Llorente, RM/CM/RB, Atlético de Madrid, Spain, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/226161.png, 00114
Mikel Merino, CM/CAM/LM, Paris Saint-Germain, Spain, Value: 722, https://fifastatic.fifaindex.com/FIFA24/players/225193.png, 00115
Rúben Neves, CDM/CM, Al Hilal, Portugal, Value: 724, https://fifastatic.fifaindex.com/FIFA24/players/224293.png, 00116
Leroy Sané, RM/LM, Bayern München, Germany, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/222492.png, 00117
Lucas Hernández, CB/LB, Paris Saint-Germain, France, Value: 722, https://fifastatic.fifaindex.com/FIFA24/players/220814.png, 00118
James Maddison, CAM/RM/CM, Tottenham Hotspur, England, Value: 722, https://fifastatic.fifaindex.com/FIFA24/players/220697.png, 00119
Stanislav Lobotka, CM/CDM, Napoli, Slovakia, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/216435.png, 00120
Pierre-Emile Højbjerg, CDM/CM, Tottenham Hotspur, Denmark, Value: 722, https://fifastatic.fifaindex.com/FIFA24/players/213648.png, 00121
Rodrigo Javier De Paul, CM, Atlético de Madrid, Argentina, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/212616.png, 00122
Julian Brandt, CAM/RM/CM, Borussia Dortmund, Germany, Value: 722, https://fifastatic.fifaindex.com/FIFA24/players/212194.png, 00123
Niklas Süle, CB/RB, Borussia Dortmund, Germany, Value: 724, https://fifastatic.fifaindex.com/FIFA24/players/212190.png, 00124
Grimaldo, LWB/LM, Bayer 04 Leverkusen, Spain, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/210035.png, 00125
Adrien Rabiot, CM/LM, Juventus, France, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/210008.png, 00126
Fabinho, CDM, Al Ittihad, Brazil, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/209499.png, 00127
Yannick Carrasco, LW/LWB/LM, Al Shabab, Belgium, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/208418.png, 00128
Matthias Ginter, CB, SC Freiburg, Germany, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/207862.png, 00129
Serge Gnabry, RM/ST/LM, Bayern München, Germany, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/206113.png, 00130
Nick Pope, GK, Newcastle United, England, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/203841.png, 00131
Memphis Depay, CF/LW/ST, Atlético de Madrid, Netherlands, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/202556.png, 00132
Kalidou Koulibaly, CB, Al Hilal, Senegal, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/201024.png, 00133
