Lionel Messi (Prime), RW, FC Barcelona, Argentina, Value: 1500, https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg)/origin-imgresizer.eurosport.com/2015/06/07/1608439-34166200-2560-1440.jpg, 18146 
Cristiano Ronaldo (Prime), LW, Real Madrid, Portugal, Value: 1500, https://www.mensjournal.com/.image/t_share/MTk2MTM1ODIyMDM1NDYxNjM3/cristiano-ronaldo-real-madrid-champions-league.jpg, 18147
Pelé, CF, Santos, Brazil, Value: 1500, https://i.guim.co.uk/img/media/e641241d1c136732ac625348f85e4cbe3180850c/0_159_2511_1507/master/2511.jpg, 18148
Diego Maradona, CAM, Napoli FC, Argentina, Value: 1500, https://i0.wp.com/thesefootballtimes.co/wp-content/uploads/2017/03/maradona86.jpg, 18149
Zinedine Zidane, CAM, Real Madrid, France, Value: 1300, https://pbs.twimg.com/media/CjY3noKXIAA9rZu.jpg, 18150
Johan Cruyff, CF/CAM, Ajax/FC Barcelona, Netherlands, Value: 1300, https://assets.goal.com/v3/assets/bltcc7a7ffd2fbf71f5/blt6208719b8aa55c7f/62fed65e81992935c2e84852/jq2yyzvabv761039zb60jy9u4.jpg, 18151
George Best, LW/RW, Manchester Utd, Northern Ireland, Value: 1300, https://img.rasset.ie/000068a1-1600.jpg, 18152
Franz Beckenbauer, CB, FC Bayern München, West Germany, Value: 1300, https://blogmediauploadbucket.s3.us-east-2.amazonaws.com/TSL/blog-image/Resized/800*600/0.2357270143873913.jpg, 18153
Ferenc Puskás, ST, Budapest Honvéd/Real Madrid, Hungary, Value: 1300, https://i.ytimg.com/vi/OCPkAt0OTLs/maxresdefault.jpg, 18154
Ronaldo Nazário, ST, Real Madrid/Inter, Brazil, Value: 1300, https://assets.goal.com/v3/assets/bltcc7a7ffd2fbf71f5/blt9d791f6b15f27c9c/60df77cf21d15821fe7e5469/4632f737dc6c464eecebcc7e95f111f4e922825e.jpg, 18155
Gerd Müller, ST/CF, FC Bayern München, West Germany, Value: 1250, https://cdn.artphotolimited.com/images/5f60bc53bd40b8173f11e855/1000x1000/gerd-muller-celebrates-his-second-goal.jpg, 18156
Alfredo Di Stéfano, ST/CF, Real Madrid, Argentina, Value: 1250, https://cdn1.i-scmp.com/sites/default/files/2014/07/08/808215c8aa372543c7a2a90c934bde31.jpg, 18157
Michel Platini, CAM, Juventus, France, Value: 1250, https://footballmakeshistory.eu/wp-content/uploads/2022/12/Michel_Platini1920x1280.jpg, 18158
Zico, CAM, Flamengo, Brazil, Value: 1250, https://best100football.files.wordpress.com/2020/09/zico_brazil.jpg, 18159
Garrincha, RW, Botafogo, Brazil, Value: 1200, https://i0.wp.com/thesefootballtimes.co/wp-content/uploads/2021/08/garrincha.jpg, 18160
Bobby Charlton, CM/CAM, Manchester Utd, England, Value: 1200, https://www.irishnews.com/picturesarchive/irishnews/irishnews/2018/10/10/174404085-fe6c1c91-21db-4228-b1ff-a67390c97714.jpeg, 18161
Paolo Maldini, LB/CB, Milan, Italy, Value: 1200, https://www.sportsnet.ca/wp-content/uploads/2015/06/paolo_maldini720.jpg, 18162
Romário, ST, Vasco da Gama/PSV/FC Barcelona, Value: 1200, https://copaamerica.com/wp-content/uploads/000_APP2001032829719.jpg, 18163
Giuseppe Meazza, ST, Inter, Italy, Value: 1200, https://icdn.sempreinter.com/wp-content/uploads/2018/08/Meazza-e1535065427823.jpg, 18164
Ronaldinho, LW/CAM, FC Barcelona, Brazil, Value: 1200, https://assets.goal.com/v3/assets/bltcc7a7ffd2fbf71f5/blta0b651a34b44d5fc/60dbd8dc22d24e38a38b5f26/f32a20235b7c8a97cf370120f607bbb8a78f1dbe.jpg, 18165
Andrés Iniesta, CM, FC Barcelona, Spain, Value: 1100, https://cdn.resfu.com/media/img_news/agencia-efe_multimedia_4294621.multimedia.photos.16688017.file.jpg, 18166
Franco Baresi, CB, Milan, Italy, Value: 1100, https://i.guim.co.uk/img/media/d4427b65b1585de9cf6c8387677ef4626a3efd0b/0_0_4755_3171/master/4755.jpg, 18167
Marco van Basten, ST, Ajax/Milan, Netherlands, Value: 1100, https://iffhs.com/images/legend-images/18/1.jpg, 18168
Eusébio, CF, SL Benfica, Portugal, Value: 1100, https://i0.wp.com/thesefootballtimes.co/wp-content/uploads/2018/04/eusebio.jpg, 18169
Xavi, CM, FC Barcelona, Spain, Value: 1100, https://i.guim.co.uk/img/media/23c74a4280d361f41ab9a8aeceb63ba04d9924ce/0_268_3500_2101/master/3500.jpg, 18170
Carlos Alberto, RB/RWB, Santos, Brazil, Value: 1100, https://i.ytimg.com/vi/lk2Zl5riddw/hq720.jpg, 18171
Ruud Gullit, CF/RW, Milan, Netherlands, Value: 1100, https://tmssl.akamaized.net/images/foto/galerie/ruud-gullit-nationalmannschaft-action-1572957777-27173.jpg, 18172
Sócrates, CAM, Corinthians, Brazil, Value: 1100, https://www.newframe.com/wp-content/uploads/2019/12/6Dec_S%C3%B3crates_IH-1.jpg, 18173
Raymond Kopa, CAM/RW, Real Madrid/Stade de Reims, France, Value: 1100, https://tmssl.akamaized.net/images/foto/galerie/raymond-kopa-france-1666022591-94416.jpg, 18174
Lev Yashin, GK, Dynamo Moscow, Soviet Union, Value: 1250, https://static.themoscowtimes.com/image/article_1360/92/TASS1227017-2.jpg, 18175
Lothar Matthäus, CDM/CM, Inter/FC Bayern München, West Germany, Value: 1100, https://cdn.sportmob.com/resource/news/20210420_963035/item_8_7465.jpg, 18176
Stanley Matthews, RW, Stoke City/Blackpool, England, Value: 1100, https://tmssl.akamaized.net/images/foto/galerie/sir-stanley-matthews-england-1528461354-15901.jpg, 18177
Valentino Mazzola, CF/CAM, Torino, Italy, Value: 1100, https://i0.wp.com/thesefootballtimes.co/wp-content/uploads/2016/02/dieci-in-nazionale-3-lp.jpg, 18178
Matthias Sindelar, CF, Austria Wien, Austria, Value: 1100, https://i0.wp.com/thesefootballtimes.co/wp-content/uploads/2015/05/matthias-sindelar-014.jpg, 18179
Luis Suárez (Spain), CAM, FC Barcelona/Inter, Spain, Value: 1100, https://media.cnn.com/api/v1/images/stellar/prod/230710103443-01-luis-surez-obit.jpg, 18180
Paco Gento, LW, Real Madrid, Spain, Value: 1100, https://www.whatahowler.com/wp-content/uploads/2016/10/08aa7-1yj29wnp_ipj3ffryn-qkta.jpeg, 18181
