Kylian Mbappé, ST/LW, Paris SG, France, Value: 950, https://fifastatic.fifaindex.com/FIFA23/players/231747.png, 00001
Kevin De Bruyne, CM/CAM, Manchester City, Belgium, Value: 910, https://fifastatic.fifaindex.com/FIFA23/players/192985.png, 00002
Robert Lewandowski, ST, FC Barcelona, Poland, Value: 910, https://fifastatic.fifaindex.com/FIFA23/players/188545.png, 00003
Karim Benzema, CF/ST, Real Madrid, France, Value: 910, https://fifastatic.fifaindex.com/FIFA23/players/165153.png, 00004
Lionel Messi, RW, Paris SG, Argentina, Value: 1000, https://fifastatic.fifaindex.com/FIFA23/players/158023.png, 00005
Thibaut Courtois, GK, Real Madrid, Belgium, Value: 902, https://fifastatic.fifaindex.com/FIFA23/players/192119.png, 00006
Erling Haaland, ST, Manchester City, Norway, Value: 950, https://fifastatic.fifaindex.com/FIFA23/players/239085.png, 00007
Alisson, GK, Liverpool, Brazil, Value: 892, https://fifastatic.fifaindex.com/FIFA23/players/212831.png, 00008
Joshua Kimmich, CDM/RB/CM, FC Bayern München, Germany, Value: 892, https://fifastatic.fifaindex.com/FIFA23/players/212622.png, 00009
Ederson, GK, Manchester City, Brazil, Value: 894, https://fifastatic.fifaindex.com/FIFA23/players/210257.png, 00010
Mohamed Salah, RW, Liverpool, Egypt, Value: 890, https://fifastatic.fifaindex.com/FIFA23/players/209331.png, 00011
Sadio Mané, CF/LM, FC Bayern München, Senegal, Value: 890, https://fifastatic.fifaindex.com/FIFA23/players/208722.png, 00012
Virgil van Dijk, CB, Liverpool, Netherlands, Value: 890, https://fifastatic.fifaindex.com/FIFA23/players/203376.png, 00013
Harry Kane, ST, Spurs, England, Value: 890, https://fifastatic.fifaindex.com/FIFA23/players/202126.png, 00014
Jan Oblak, GK, Atlético de Madrid, Slovenia, Value: 892, https://fifastatic.fifaindex.com/FIFA23/players/200389.png, 00015
Casemiro, CDM, Manchester Utd, Brazil, Value: 890, https://fifastatic.fifaindex.com/FIFA23/players/200145.png, 00016
Neymar Jr (Current), LW, Paris SG, Brazil, Value: 890, https://fifastatic.fifaindex.com/FIFA23/players/190871.png, 00017
Manuel Neuer, GK, FC Bayern München, Germany, Value: 890, https://fifastatic.fifaindex.com/FIFA23/players/167495.png, 00018
Rúben Dias, CB, Manchester City, Portugal, Value: 886, https://fifastatic.fifaindex.com/FIFA23/players/239818.png, 00019
Gianluigi Donnarumma, GK, Paris SG, Italy, Value: 888, https://fifastatic.fifaindex.com/FIFA23/players/230621.png, 00020
Bernardo Silva, CAM/CM, Manchester City, Portugal, Value: 880, https://fifastatic.fifaindex.com/FIFA23/players/218667.png, 00021
N'Golo Kanté, CDM/CM, Chelsea, France, Value: 880, https://fifastatic.fifaindex.com/FIFA23/players/215914.png, 00022
Marquinhos, CB, Paris SG, Brazil, Value: 884, https://fifastatic.fifaindex.com/FIFA23/players/207865.png, 00023
Heung Min Son, LW/LM/ST, Spurs, Korea Republic, Value: 880, https://fifastatic.fifaindex.com/FIFA23/players/200104.png, 00024
Marc-André ter Stegen, GK, FC Barcelona, Germany, Value: 882, https://fifastatic.fifaindex.com/FIFA23/players/192448.png, 00025
Toni Kroos, CM/CDM, Real Madrid, Germany, Value: 880, https://fifastatic.fifaindex.com/FIFA23/players/182521.png, 00026
Luka Modrić, CM, Real Madrid, Croatia, Value: 880, https://fifastatic.fifaindex.com/FIFA23/players/177003.png, 00027
Cristiano Ronaldo, ST, Al Nassr, Portugal, Value: 1000, https://fifastatic.fifaindex.com/FIFA23/players/20801.png, 00028
Rodri, CDM, Manchester City, Spain, Value: 874, https://fifastatic.fifaindex.com/FIFA23/players/231866.png, 00029
Frenkie de Jong, CM, FC Barcelona, Netherlands, Value: 880, https://fifastatic.fifaindex.com/FIFA23/players/228702.png, 00030
Mike Maignan, GK, Milan, France, Value: 876, https://fifastatic.fifaindex.com/FIFA23/players/215698.png, 00031
João Cancelo, LB/RB, FC Bayern München, Portugal, Value: 870, https://fifastatic.fifaindex.com/FIFA23/players/210514.png, 00032
Leon Goretzka, CM/CDM, FC Bayern München, Germany, Value: 870, https://fifastatic.fifaindex.com/FIFA23/players/209658.png, 00033
Antonio Rüdiger, CB, Real Madrid, Germany, Value: 872, https://fifastatic.fifaindex.com/FIFA23/players/205452.png, 00034
Marco Verratti, CM/CAM, Paris SG, Italy, Value: 870, https://fifastatic.fifaindex.com/FIFA23/players/199556.png, 00035
